Keyword,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29,bert_30,bert_31,bert_32,bert_33,bert_34,bert_35,bert_36,bert_37,bert_38,bert_39,bert_40,bert_41,bert_42,bert_43,bert_44,bert_45,bert_46,bert_47,bert_48,bert_49
mit generative ai course,0.85551333,0.38495395,0.114370316,0.24114302,0.12961781,-0.043592703,-0.0246543,-0.057334144,0.000721093,0.015361953,-0.026804322,0.006604895,0.009944416,-0.04725105,-0.026384683,-0.06172096,0.022816619,0.0119989235,-0.016584825,0.0028316432,0.02570787,-0.03190204,0.026792753,0.008453613,0.049176324,0.030887108,0.040179726,-0.030942857,-0.005177699,0.019870063,-0.0088089295,-0.006768259,0.011182373,0.024248146,-0.03804283,0.025505306,-0.022076897,0.038281005,-0.018398823,0.022920853,0.007571501,0.0061582867,-0.019893467,-0.008043369,-0.00431432,-0.010718319,0.01156279,0.0038851453,0.04329752,-0.00021347255
certification for artificial intelligence,0.71190256,-0.47961476,0.09398863,0.15968935,-0.33719018,0.03374263,0.21932408,0.024827866,0.0072281617,-0.048150748,-0.08764317,0.072156586,0.051211473,-0.012161756,-0.06721381,-0.056950133,0.11050319,0.03676034,-0.043010876,0.012302386,-0.042999085,-0.0006493826,0.024185384,-0.051344715,0.043284636,0.030693185,0.04553233,-0.03620288,0.013987612,-0.03715107,0.003047075,0.039015178,-0.040214013,-0.0006840424,0.035089567,-0.019096632,-0.021842446,-0.006408527,-0.022134608,0.011986006,-0.0007668509,0.03577494,-0.002288602,0.02782037,-0.04079437,0.023762193,-0.014734156,-0.0055678496,0.019453578,0.016220761
best place to study artificial intelligence,0.6924651,-0.27316213,-0.20155928,-0.0037911988,0.04978856,0.097386345,0.18598321,-0.22057565,0.20886059,0.029847551,0.048359953,-0.015775807,-0.036991965,0.16709803,-0.016829014,0.050373167,-0.08123908,-0.0539031,-0.019814331,-0.017430224,0.08120649,0.11495837,0.026552413,-0.052585177,-0.10783949,0.0355669,0.11775559,-0.08876959,0.106486134,0.21730301,0.015131423,0.11693024,-0.09656649,-0.06753059,-0.05607928,0.055660676,-0.05236219,0.055304665,0.18558188,-0.0028419055,0.10215819,0.018912287,-0.09000309,-0.038469747,-0.019985294,0.05809953,0.014361126,0.017525913,0.0667333,0.02716156
generative ai training course,0.86185724,0.37635353,-0.07554427,0.07778948,-0.15098692,-0.120192416,0.0065074484,0.07978939,-0.01913648,0.019463532,0.046128053,0.106467925,-0.044432506,-0.0612419,0.02534995,-0.062301546,-0.038360566,0.015749995,-0.039454196,-0.023283489,0.068390556,-0.020996898,0.005266133,-0.025985012,0.0050539076,-0.049632475,-0.0025217494,0.051943228,0.02037472,0.07413358,-0.021803943,-0.026901627,-0.028852774,-0.003817815,0.045761667,0.005685654,0.047950793,-0.015775204,0.038762655,-0.016331466,0.014972886,0.016807232,0.031189745,-0.001364076,0.01597635,-0.037409574,0.040544253,0.012011923,0.005211072,-0.038830407
google generative ai course,0.86070025,0.3796288,-0.027550923,0.016856834,-0.021497386,0.021531422,0.003475617,0.018568994,0.0051910854,-0.07570011,-0.038478613,-0.025991803,-0.007532438,-0.0494683,0.00033093398,-0.0582003,0.009114913,-0.00038898241,-0.028420543,0.043996975,-0.061733287,0.0670749,0.05406101,0.11171009,-0.062131006,-0.0148769375,0.008589647,0.052702602,0.10320959,-0.031649098,0.026106728,-0.029916167,-0.016753515,-0.07334614,-0.08796679,-0.020218702,0.01939951,0.020793278,-0.0050935713,0.102762654,0.0029062028,-0.057477783,-0.008996926,0.08716915,-0.0601866,0.071493946,0.047083184,-0.017395135,0.03408744,0.06029669
mit artificial intelligence course,0.8419308,-0.17236824,-0.07355196,0.2546685,0.31473565,0.08907796,0.10329409,-0.10077131,0.085068695,0.021213526,-0.023328954,0.00078734575,-0.027088871,-0.0143625075,0.00848758,-0.1715549,0.016461112,-0.05417264,-0.031273656,-0.039715245,-0.0070391647,-0.029939018,0.03322541,0.027382731,0.053998403,0.016227826,0.016425975,0.0328844,0.050864555,0.0064242193,-0.021380685,-0.028410126,-0.03017051,0.025164017,-0.010508533,0.0022627611,0.03167247,-0.02560952,-0.02810804,-0.032759137,0.016220994,0.01566762,-0.0009496727,-0.017047899,-0.027211409,0.008061032,0.012141937,0.022221418,-0.001965428,-0.016357737
generative ai certificate course,0.8694754,0.10815519,0.005466189,0.2745146,-0.24094507,-0.12457369,-0.03622595,0.07200855,-0.021317791,-0.12631586,-0.04223481,-0.06621986,0.058396924,0.029086722,-0.0121425,-0.04133485,-0.09750126,-0.06422325,0.017105915,-0.02157046,0.055679463,-0.038471654,0.02909995,0.025419349,0.029670829,-0.01200958,-0.067900434,-0.0043177046,-0.00991194,-0.009913496,-0.051725447,-0.01789681,0.02558455,-0.023296202,-0.028366162,-0.020869862,-0.033545926,0.056651596,0.06429231,0.003591599,-0.0034335956,-0.039793953,-0.037690017,-0.053085763,0.012180479,0.022683533,-0.022371424,0.02645611,0.0070677875,-0.013814428
best courses on artificial intelligence,0.8161235,-0.16823164,-0.30595833,-0.04530546,0.00073525927,0.05076724,0.23088191,-0.2770537,0.17960793,0.038950823,-0.023239464,-0.009483592,0.001416546,0.13035385,-0.021956302,-0.03284859,-0.036773298,0.014806792,0.016312517,-0.014288516,0.009610324,-0.03740938,-0.01581979,-0.030080816,0.018074105,-0.05427362,-0.009887199,0.011809114,-0.008939918,-0.030783111,-0.040182844,-0.017648792,0.021570234,0.012453807,0.014692262,0.03770575,-0.044364907,0.018847613,-0.014108623,0.015424788,0.015513178,-0.00011681392,-0.031214314,-0.00090529025,0.020595076,0.010610491,-0.023613514,0.0006140095,-0.072917074,0.023981413
generative ai courses online,0.84093606,0.34223732,-0.25507107,0.045943715,-0.12714623,0.08992411,-0.21626812,0.072546974,0.059703916,0.009884248,0.046597168,0.017649423,0.0142519325,0.047044244,-0.04308417,-0.05062618,0.015107224,0.00892767,-0.043994226,-0.0026176334,0.016212694,-0.028673945,0.02095607,-0.002863535,-0.026613863,-0.03407995,-0.014131655,0.033476837,0.04648612,-0.0094420565,-0.019811759,0.05608881,0.0058165053,0.011212074,0.019654702,0.022730984,-0.015591426,0.009438737,0.006700541,-0.0028834948,0.033150963,-0.00066528853,0.030399308,0.010895454,-0.04504571,-0.00061518274,-0.0059467014,-0.009015028,-0.020520346,0.018472608
course in generative ai,0.85170037,0.444449,0.018867914,0.0576459,-0.0908443,-0.05192243,0.048196115,-0.09281278,-0.036246557,-0.0472179,0.0063327826,0.004938518,0.026834982,-0.12803727,-0.046042725,0.004600751,0.03354869,-0.0017017449,0.036321457,-0.020988265,0.025295671,-0.0033705072,-0.04605797,0.019713646,-0.0081437575,0.057639815,0.020523136,0.012953297,-0.050155666,0.014609748,-0.006466889,-0.012288257,-0.05399526,-0.04168473,0.024007965,0.01967555,-0.02644685,-0.01136726,-0.015894728,-0.044541918,-0.03380745,0.05740632,-0.03600399,0.015692342,-0.01419524,-0.025210252,-0.013912621,-0.000288237,-0.0012713592,-0.00036315963
