keyword_idx,region,match_type
0,USA,Broad match
93,B,Exact match
93,A,Exact match
93,USA,Exact match
92,A,Exact match
92,USA,Exact match
95,B,Exact match
95,A,Exact match
94,USA,Exact match
94,B,Exact match
94,A,Exact match
95,USA,Exact match
89,A,Phrase match
89,USA,Phrase match
88,B,Exact match
88,A,Exact match
88,USA,Exact match
89,B,Phrase match
91,B,Exact match
91,A,Exact match
91,USA,Exact match
90,B,Exact match
90,A,Exact match
90,USA,Exact match
87,B,Exact match
96,USA,Phrase match
102,B,Exact match
102,A,Exact match
102,USA,Exact match
101,B,Exact match
101,USA,Exact match
104,B,Exact match
104,A,Exact match
104,USA,Exact match
103,B,Exact match
100,B,Exact match
98,USA,Exact match
97,B,Exact match
97,A,Exact match
97,USA,Exact match
96,B,Phrase match
96,A,Phrase match
98,A,Exact match
100,A,Exact match
100,USA,Exact match
99,B,Exact match
99,A,Exact match
99,USA,Exact match
98,B,Exact match
87,A,Exact match
76,A,Exact match
76,USA,Phrase match
76,USA,Exact match
75,B,Exact match
76,A,Phrase match
75,USA,Phrase match
74,C,Phrase match
74,C,Exact match
74,B,Phrase match
74,B,Exact match
78,USA,Exact match
77,C,Exact match
77,USA,Exact match
76,C,Exact match
77,B,Exact match
74,A,Phrase match
74,A,Exact match
71,C,Broad match
71,B,Exact match
71,B,Broad match
71,A,Exact match
71,A,Broad match
71,USA,Exact match
70,B,Phrase match
70,B,Exact match
70,A,Phrase match
70,A,Exact match
70,USA,Phrase match
71,USA,Broad match
72,USA,Exact match
72,USA,Phrase match
74,USA,Exact match
73,B,Exact match
73,A,Exact match
73,USA,Exact match
72,B,Exact match
72,A,Exact match
85,USA,Exact match
84,B,Exact match
84,A,Exact match
84,USA,Exact match
83,B,Phrase match
83,B,Exact match
83,A,Phrase match
83,A,Exact match
86,B,Exact match
85,A,Exact match
86,USA,Exact match
85,B,Exact match
86,A,Exact match
83,USA,Phrase match
83,USA,Exact match
80,B,Broad match
80,A,Broad match
80,USA,Phrase match
80,USA,Broad match
79,B,Phrase match
79,A,Phrase match
79,A,Broad match
79,USA,Phrase match
79,USA,Broad match
82,B,Exact match
82,A,Exact match
82,USA,Exact match
81,B,Exact match
81,A,Exact match
81,USA,Exact match
70,USA,Exact match
105,USA,Exact match
128,USA,Broad match
127,USA,Broad match
129,USA,Broad match
130,B,Broad match
124,USA,Broad match
123,B,Broad match
126,B,Broad match
125,B,Broad match
131,USA,Exact match
131,A,Exact match
137,B,Exact match
137,USA,Exact match
136,A,Phrase match
136,USA,Phrase match
136,B,Phrase match
139,B,Broad match
139,USA,Exact match
139,USA,Broad match
138,B,Phrase match
138,A,Exact match
138,USA,Phrase match
138,USA,Exact match
135,B,Phrase match
133,USA,Exact match
132,B,Broad match
132,USA,Broad match
132,A,Broad match
133,A,Exact match
135,A,Phrase match
135,USA,Phrase match
134,B,Phrase match
134,A,Phrase match
134,USA,Phrase match
133,B,Exact match
122,B,Broad match
111,USA,Phrase match
111,USA,Broad match
110,USA,Exact match
113,USA,Broad match
112,USA,Broad match
107,USA,Broad match
106,USA,Broad match
109,USA,Exact match
108,USA,Broad match
119,B,Broad match
121,B,Broad match
120,B,Broad match
118,USA,Broad match
115,USA,Exact match
114,USA,Broad match
117,USA,Broad match
116,A,Broad match
116,USA,Exact match
69,C,Phrase match
69,C,Exact match
23,B,Phrase match
23,B,Exact match
23,A,Phrase match
23,A,Exact match
23,USA,Phrase match
