day,rank,keyword,region,match,bid,pred_conv,pred_clicks,predicted_profit
2025-10-01,1,ai graphic design course,B,Exact match,48.85199367995178,494.3603248580049,1.0000000000001226,445.5083311780471
2025-10-01,2,ai graphic design course,USA,Exact match,47.62366827719027,479.33275964190824,0.7953245339950028,441.4564878622193
2025-10-01,3,best place to study artificial intelligence,B,Exact match,33.95820829559665,341.20666613697597,1.0000000000002336,307.2484578413714
2025-10-01,4,best place to study artificial intelligence,B,Phrase match,29.558548660280966,315.56563170248904,1.0000000000002345,286.00708304220115
2025-10-01,5,generative ai fundamentals,A,Exact match,28.21142041024745,281.61442939109406,1.0000000000002345,253.40300898084
2025-10-01,6,artificial intelligence bootcamp online,USA,Exact match,24.527483965439558,242.75067418176297,1.0000000000000098,218.2231902163232
2025-10-01,7,ai for executives,USA,Exact match,20.46063104522861,226.0868380195968,0.280645712799688,220.34464963557718
2025-10-01,8,ai executive education,USA,Exact match,12.38294100644807,134.81936085174686,1.0000000000002338,122.4364198452959
2025-10-01,9,ai executive education,A,Exact match,12.140289508991273,401.4590816571191,5.630638744012786,333.1014971842609
2025-10-01,10,executive education ai,USA,Exact match,11.37661475008527,145.33009821413697,1.0000000000001201,133.95348346405032
2025-10-02,1,ai graphic design course,B,Exact match,47.37941043325492,479.93335129256695,0.7546239281779465,444.17971447666895
2025-10-02,2,best place to study artificial intelligence,B,Phrase match,29.558548660275374,315.56563170243425,0.9999999999993028,286.0070830421795
2025-10-02,3,generative ai fundamentals,A,Exact match,28.211420410248813,281.6144293911075,1.0000000000004619,253.40300898084564
2025-10-02,4,generative ai fundamentals,USA,Exact match,28.211420410247555,281.6144293910951,1.0000000000002522,253.4030089808404
2025-10-02,5,generative ai fundamentals,B,Exact match,28.211420410246085,281.61442939108076,1.000000000000007,253.40300898083447
2025-10-02,6,best place to study artificial intelligence,A,Exact match,25.62327865343194,257.55320093067087,-0.3888466401446591,267.51672674454824
2025-10-02,7,ai for executives,USA,Exact match,24.77771487457105,268.38152962729254,1.000000000000234,243.6038147527157
2025-10-02,8,ai for executives,A,Exact match,23.248715026444035,249.65984188711374,0.7452232480633407,232.3343589618081
2025-10-02,9,artificial intelligence online program,USA,Exact match,22.03866241770012,255.01533514781414,1.0000000000002327,232.9766727301089
2025-10-02,10,artificial intelligence bootcamp online,A,Phrase match,18.671915345383034,199.10402694297107,1.0000000000000004,180.43211159758803
2025-10-03,1,ai graphic design course,B,Exact match,48.85199367995246,494.3603248580115,1.0000000000002363,445.5083311780475
2025-10-03,2,ai graphic design course,A,Exact match,48.85199367995109,489.37099440717253,1.0000000000000089,440.519000727221
2025-10-03,3,best place to study artificial intelligence,B,Exact match,33.95820829559597,341.2066661369694,1.0000000000001217,307.24845784136926
2025-10-03,4,best place to study artificial intelligence,B,Phrase match,29.558548660280966,315.56563170248904,1.0000000000002345,286.00708304220115
2025-10-03,5,generative ai fundamentals,A,Exact match,28.21142041024745,281.61442939109406,1.0000000000002345,253.40300898084
2025-10-03,6,artificial intelligence bootcamp online,USA,Exact match,24.527483965440222,242.75067418176948,1.0000000000001208,218.2231902163263
2025-10-03,7,artificial intelligence bootcamp online,A,Phrase match,18.671915345383766,199.1040269429783,1.0000000000001226,180.43211159759224
2025-10-03,8,ai generated courses,B,Exact match,15.664407689859388,168.27692013716128,1.0000000000001228,152.61251244729996
2025-10-03,9,ai for executives,USA,Exact match,13.813990961485104,160.96936435402304,-0.826881782316883,172.39190182116516
