bid,keyword,region,match,active,predicted_conv_value,predicted_clicks,predicted_profit
48.85199367995109,ai graphic design course,A,Exact match,1.0,489.370994407173,1.0,440.5190007272219
33.95820829559597,best place to study artificial intelligence,USA,Exact match,1.0,343.70133136238235,1.0,309.7431230667864
28.21142041024745,generative ai fundamentals,A,Exact match,1.0,285.60589375175476,1.0,257.3944733415073
28.211420410243996,generative ai fundamentals,USA,Exact match,1.0,281.86389591360154,1.0,253.65247550335755
21.842945630505984,best place to study artificial intelligence,C,Exact match,1.0,225.0074818977405,1.0,203.1645362672345
18.914566842841253,artificial intelligence bootcamp online,USA,Phrase match,1.0,204.7243608970527,1.0,185.80979405421144
18.65654348247496,best place to study artificial intelligence,C,Phrase match,1.0,196.03533539339648,1.0,177.3787919109215
12.140289508991273,ai executive education,A,Exact match,1.0,129.19902689767946,1.0,117.05873738868819
10.581943341561027,course generator ai,A,Exact match,1.0,143.71143913741196,1.0,133.12949579585094
9.783975997137095,ai for executives course,B,Phrase match,1.0,114.2252463524926,1.0,104.44127035535551
9.408966113226427,AI for business,USA,Exact match,1.0,152.74328107944345,1.0,143.33431496621702
9.385177935370866,ai for business leaders,B,Exact match,1.0,153.79143695025445,1.0,144.40625901488357
9.16631461577097,AI for business,A,Exact match,1.0,141.38521710693996,1.0,132.218902491169
8.899874940459314,ai for business leaders,A,Exact match,1.0,130.32690943761682,1.0,121.4270344971575
8.529797341038712,artificial intelligence bootcamp online,C,Exact match,1.0,100.24010992545963,1.0,91.71031258442092
8.043386206137486,best place to study artificial intelligence,B,Phrase match,1.0,104.78048208308107,1.0,96.73709587694358
7.830045309389168,generative ai online courses,A,Exact match,1.0,95.89711215732744,1.0,88.06706684793828
6.503658639206933,certification for artificial intelligence,A,Exact match,1.0,84.06779268424965,1.0,77.56413404504272
5.9799124677376945,AI for business,A,Phrase match,1.0,113.90986973782127,1.0,107.92995727008358
5.979912467734456,AI for business,USA,Phrase match,1.0,113.90986973778925,1.0,107.9299572700548
5.5169692994115636,generative ai course online,A,Exact match,1.0,68.31342125801434,1.0,62.79645195860278
5.516969299409058,generative ai course online,USA,Exact match,1.0,67.56502169036597,1.0,62.04805239095691
4.910224614042516,google generative ai course,USA,Exact match,1.0,66.31466434385162,1.0,61.4044397298091
4.7642456342197566,course on machine learning and artificial intelligence,B,Exact match,1.0,72.18746113542217,1.0,67.4232155012024
4.722538950451971,ai courses for executives,USA,Exact match,1.0,65.58208357403878,1.0,60.85954462358681
4.479887452994907,ai courses for executives,B,Exact match,1.0,60.460682665051344,1.0,55.980795212056435
4.304990089607604,generative ai online course,A,Exact match,1.0,64.38005514902187,1.0,60.075065059414264
4.0738383410265735,best course for artificial intelligence,B,Exact match,1.0,60.888320786039756,1.0,56.814482445013184
4.073838341023251,best course for artificial intelligence,A,Exact match,1.0,61.137787308548276,1.0,57.06394896752502
3.982347456390023,generative ai courses online,B,Phrase match,1.0,67.61517100963235,1.0,63.632823553242325
3.4411986513676576,online artificial intelligence degree,B,Exact match,1.0,46.022344415106254,1.0,42.5811457637386
3.311347913993489,generative ai course,B,Exact match,1.0,32.67134420896479,1.0,29.3599962949713
3.311347913993489,generative ai course,A,Exact match,1.0,32.92081073150597,1.0,29.609462817512483
