bid,keyword,region,match,active,predicted_conv_value,predicted_clicks,predicted_profit
50.0,ai graphic design course,B,Exact match,1.0,504.36006901969625,0.9999999999997726,454.3600690197076
50.0,ai graphic design course,USA,Exact match,1.0,504.36006901969625,0.9999999999997726,454.3600690197076
25.990972361855047,ai for executives,B,Exact match,1.0,280.76680847752937,0.9999999999995453,254.77583611568613
25.99097236185378,ai for executives,USA,Exact match,1.0,280.766808477517,0.9999999999997726,254.7758361156691
25.990972361853768,ai for executives,A,Exact match,1.0,280.76680847751686,0.9999999999995453,254.7758361156749
24.527483965440908,artificial intelligence bootcamp online,USA,Exact match,1.0,243.24960722685864,0.9999999999995453,218.7221232614289
24.527483965439536,artificial intelligence bootcamp online,A,Exact match,1.0,243.24960722684523,0.9999999999997726,218.72212326141127
21.34108181740797,artificial intelligence bootcamp online,A,Phrase match,1.0,212.03226201962426,0.9999999999997726,190.69118020222115
21.341081817407836,artificial intelligence bootcamp online,USA,Phrase match,1.0,212.03226201962295,0.9999999999997726,190.69118020221995
13.596198493730666,ai executive education,USA,Exact match,1.0,152.19397015279574,1.0,138.59777165906507
13.596198493730666,ai executive education,A,Exact match,1.0,152.19397015279574,0.9999999999995453,138.59777165907127
13.596198493730666,ai executive education,B,Exact match,1.0,152.19397015279574,1.0,138.59777165906507
11.19896381306554,artificial intelligence bootcamp online,C,Exact match,1.0,112.66941195704884,0.9999999999997726,101.47044814398585
10.113132427740657,ai for business leaders,A,Exact match,1.0,146.45418612594662,0.9999999999997726,136.34105369820827
9.822056168099369,course generator ai,B,Phrase match,1.0,120.30092809787672,0.9999999999995453,110.47887192978182
9.151155657214414,ai for business leaders,B,Exact match,1.0,137.0296503857241,1.0,127.87849472850968
7.149053925018629,ai courses for executives,A,Exact match,1.0,74.63625035439905,0.9999999999997726,67.48719642938205
7.149053925018553,ai courses for executives,B,Exact match,1.0,74.6362503543983,0.9999999999997726,67.48719642938137
6.426661540144478,ai prompt engineering course,A,Exact match,1.0,74.99551376279715,1.0,68.56885222265267
6.426661540144465,ai prompt engineering course,B,Exact match,1.0,74.99551376279702,0.9999999999995453,68.56885222265548
6.426661540144455,ai prompt engineering course,USA,Exact match,1.0,74.99551376279692,1.0,68.56885222265247
3.96265177698829,ai courses for executives,USA,Phrase match,1.0,43.418905147190095,0.9999999999997726,39.45625337020271
3.9626517769868412,ai courses for executives,B,Phrase match,1.0,43.418905147175906,1.0,39.45625337018907
3.9626517769868412,ai courses for executives,A,Phrase match,1.0,43.418905147175906,0.9999999999997726,39.45625337018996
0.01,best ai classes online,B,Exact match,1.0,12.961566814628945,0.9999999999997726,12.951566814628947
0.01,ai for managers course,B,Exact match,1.0,17.65367504035617,0.9999999999997726,17.64367504035617
0.01,ai for managers course,A,Exact match,1.0,17.65367504035617,0.9999999999997726,17.64367504035617
0.01,ai for managers course,A,Phrase match,1.0,17.65367504035617,1.0,17.643675040356168
0.01,generative ai course online,C,Exact match,1.0,17.604425489109765,2.1011377938437477,17.58341411117133
0.01,artificial intelligence certification,B,Phrase match,1.0,1.984322432214874,1.0,1.974322432214874
0.01,certification in machine learning and ai,B,Exact match,1.0,5.160871658510011,1.0,5.150871658510011
0.01,mit professional education applied generative ai for digital transformation,USA,Broad match,1.0,16.11340103390218,5.126119079456487,16.062139843107612
0.01,generative ai course online,A,Exact match,1.0,17.604425489109765,0.9999999999997726,17.594425489109767
0.01,best course on generative ai,C,Exact match,1.0,40.48071363285714,4.303869827910887,40.43767493457803
0.01,ai for managers course,USA,Exact match,1.0,17.65367504035617,0.9999999999997726,17.64367504035617
0.00999999999999979,courses on artificial intelligence,A,Exact match,1.0,141.0221109724829,1.3194015922629774,141.00891695656026
0.00999999999999979,artificial intelligence workshop,USA,Exact match,1.0,48.15584650713135,3.011918599509954,48.12572732113625
0.00999999999999979,generative ai courses,C,Phrase match,1.0,7.6867836384527,2.778822913435249,7.658995409318348
0.00999999999999979,artificial intelligence workshop,A,Exact match,1.0,48.15584650713135,3.011918599509954,48.12572732113625
0.00999999999999979,generative ai courses,C,Exact match,1.0,7.6867836384527,2.247873750402448,7.664304900948676
0.00999999999999979,artificial intelligence workshop,A,Phrase match,1.0,48.15584650713135,3.542867762542471,48.120417829505925
0.00999999999999979,ai for enterprise,A,Phrase match,1.0,77.26053555775512,1.2027998375249922,77.24850755937987
0.00999999999999979,ai for enterprise,C,Phrase match,1.0,77.26053555775512,3.4237268550829185,77.2262982892043
0.00999999999999979,best ai classes online,C,Exact match,1.0,12.961566814628943,1.2185143836226189,12.949381670792718
0.00999999999999979,best course on generative ai,A,Exact match,1.0,40.48071363285714,2.082942810352904,40.459884204753614
0.00999999999999979,generative ai courses,USA,Broad match,1.0,47.212475738980736,4.783115358747295,47.16464458539326
0.00999999999999979,generative ai courses,A,Broad match,1.0,47.212475738980736,4.783115358747295,47.16464458539326
0.00999999999999979,artificial intelligence master online,A,Phrase match,1.0,19.60565779945927,2.4346874812938495,19.58131092464633
0.00999999999999979,courses on artificial intelligence,A,Phrase match,1.0,141.0221109724829,1.8503507552957217,141.00360746492993
0.00999999999999979,courses on artificial intelligence,C,Exact match,1.0,141.0221109724829,3.5403286098209037,140.98670768638468
0.00999999999999979,best ai certification,USA,Broad match,1.0,57.633043840162536,5.844599629961635,57.57459784386292
0.00999999999999979,best ai certification,USA,Exact match,1.0,18.107351739634584,1.0884310040586342,18.096467429593996
0.00999999999999979,generative ai certificate course,C,Broad match,1.0,25.363244242466113,5.079818214842987,25.312446060317683
0.00999999999999979,courses on artificial intelligence,B,Exact match,1.0,141.0221109724829,1.3194015922629774,141.00891695656026
0.00999999999999979,courses on artificial intelligence,C,Phrase match,1.0,141.0221109724829,4.071277772853932,140.98139819475435
0.00999999999999979,best course on artificial intelligence,C,Phrase match,1.0,7.420728501773216,2.440174409991755,7.396326757673299
0.00999999999999979,machine learning engineer training,B,Phrase match,1.0,77.2377105296952,4.582840723609365,77.19188212245912
0.00999999999999979,best course on generative ai,B,Exact match,1.0,40.48071363285714,2.0829428103531313,40.45988420475361
0.00999999999999979,machine learning engineer training,B,Exact match,1.0,77.2377105296952,4.051891560576564,77.19719161408945
0.00999999999999979,mit ai courses,A,Broad match,1.0,4.55215380779173,3.316922032956313,4.5189845874621675
0.00999999999999979,generative ai courses,B,Broad match,1.0,47.212475738980736,4.783115358747523,47.16464458539326
0.00999999999999979,courses on artificial intelligence,USA,Phrase match,1.0,141.0221109724829,1.850350755295949,141.00360746492993
0.00999999999999979,ai for enterprise,B,Phrase match,1.0,77.26053555775512,1.2027998375249922,77.24850755937987
0.00999999999999979,AI for business,C,Phrase match,1.0,86.60564653891669,1.862265959615911,86.58702387932053
0.00999999999999979,artificial intelligence workshop,B,Exact match,1.0,48.15584650713135,3.011918599509954,48.12572732113625
0.00999999999999979,online ai and ml courses,A,Phrase match,1.0,11.342331239535318,1.7795391602090262,11.324535847933227
0.00999999999999979,online ai and ml courses,B,Exact match,1.0,11.342331239535318,1.248589997176282,11.329845339563555
0.00999999999999979,online ai and ml courses,B,Phrase match,1.0,11.342331239535318,1.7795391602087989,11.32453584793323
0.00999999999999979,artificial intelligence training,C,Exact match,1.0,31.57900442171699,4.56475024984195,31.533356919218573
0.00999999999999979,artificial intelligence training,B,Phrase match,1.0,31.57900442171699,2.874772395316768,31.550256697763825
0.00999999999999979,best generative ai course,USA,Phrase match,1.0,10.195432829018833,1.4305169026399653,10.181127659992432
0.00999999999999979,machine learning engineer training,A,Phrase match,1.0,77.2377105296952,4.582840723609365,77.19188212245912
0.00999999999999979,certification in machine learning and ai,A,Phrase match,1.0,5.1608716585100085,1.0674662280911207,5.150196996229098
0.00999999999999979,artificial intelligence training,A,Exact match,1.0,31.57900442171699,2.3438232322840236,31.555566189394153
0.00999999999999979,generative ai certificate course,A,Broad match,1.0,25.363244242466113,2.8588911972852884,25.33465533049326
0.00999999999999979,generative ai course,USA,Broad match,1.0,54.82155289249038,5.125200205289957,54.77030089043748
0.00999999999999979,artificial intelligence master online,C,Phrase match,1.0,19.60565779945927,4.655614498852003,19.55910165447075
0.00999999999999979,certification in machine learning and ai,USA,Phrase match,1.0,5.1608716585100085,1.067466228091348,5.150196996229095
0.00999999999999979,artificial intelligence master online,B,Phrase match,1.0,19.60565779945927,2.4346874812938495,19.58131092464633
0.00999999999999979,generative ai online course,B,Broad match,1.0,49.35418301569154,4.59573346240245,49.30822568106752
0.00999999999999979,generative ai online course,C,Broad match,1.0,49.35418301569154,6.816660479960149,49.28601641089194
0.00999999999999979,ai for executives course,C,Phrase match,1.0,4.498977146388374,1.147530198019524,4.487501844408179
0.00999999999999979,generative ai online course,C,Phrase match,1.0,9.82849091516339,2.5914410170904034,9.802576504992487
0.00999999999999979,generative ai course,A,Broad match,1.0,54.82155289249038,5.125200205289957,54.77030089043748
0.00999999999999979,artificial intelligence workshop,C,Phrase match,1.0,48.15584650713135,5.7637947801003975,48.098208559330345
0.00999999999999979,best course for artificial intelligence,C,Phrase match,1.0,4.859364245778925,2.6703906992837574,4.832660338786088
0.00999999999999979,artificial intelligence workshop,C,Exact match,1.0,48.15584650713135,5.2328456170678805,48.10351805096067
0.00999999999999979,ai certificate programs,USA,Broad match,1.0,40.02653908465057,2.471083357472196,40.00182825107585
0.00999999999999979,generative ai course,B,Broad match,1.0,54.82155289249038,5.125200205289957,54.77030089043748
0.00999999999999979,ai for managers course,C,Exact match,1.0,17.653675040356166,2.219537771104285,17.631479662645123
0.00999999999999979,ai for managers course,C,Phrase match,1.0,17.653675040356166,2.750486934136802,17.6261701710148
0.00999999999999979,best course for artificial intelligence,C,Exact match,1.0,4.859364245778925,2.1394415362512404,4.837969830416412
0.00999999999999979,artificial intelligence workshop,B,Phrase match,1.0,48.15584650713135,3.5428677625426985,48.120417829505925
0.00999999999999979,best generative ai course,C,Exact match,1.0,10.195432829018833,3.1204947571651473,10.164227881447182
0.00999999999999979,ai class,USA,Broad match,1.0,211.96664656335952,4.214288960403508,211.92450367375548
0.00999999999999979,online ai training courses,B,Broad match,1.0,53.964420745157746,5.578914123106983,53.90863160392668
0.00999999999999979,ai online courses,B,Broad match,1.0,214.9730262197071,6.556050028541449,214.90746571942168
0.00999999999999979,machine learning engineer training,A,Exact match,1.0,77.2377105296952,4.051891560576564,77.19719161408945
0.00999999999999979,ai short course,C,Phrase match,1.0,10.292351971998015,1.2566462938613085,10.279785509059401
0.00999999999999979,mit generative ai,B,Broad match,1.0,14.733704837998394,2.230324577062504,14.71140159222777
0.00999999999999979,introduction to generative ai,B,Exact match,1.0,6.494916981594959,4.360889178152547,6.451308089813434
0.00999999999999979,large language model course,B,Exact match,1.0,82.74284851894411,8.900479022992897,82.6538437287142
0.00999999999999979,executive education ai,C,Phrase match,1.0,34.71919032268659,1.6556961238403574,34.70263336144819
0.00999999999999979,top artificial intelligence certification,USA,Exact match,1.0,1.5099540884868978,1.1525705788491223,1.4984283826984068
0.00999999999999979,machine learning engineer training,USA,Phrase match,1.0,77.2377105296952,4.582840723609365,77.19188212245912
0.00999999999999979,ai learning course,B,Exact match,1.0,27.486078793726325,1.1272869006831456,27.474805924719494
0.00999999999999979,ai learning course,A,Phrase match,1.0,27.486078793726325,1.6582360637161173,27.469496433089162
0.00999999999999979,ai learning course,USA,Phrase match,1.0,27.486078793726325,1.6582360637161173,27.469496433089162
0.00999999999999979,ai learning course,USA,Exact match,1.0,27.486078793726325,1.127286900683373,27.47480592471949
0.00999999999999979,course generator ai,C,Phrase match,1.0,24.171710766842768,1.5859472604354323,24.155851294238413
0.00999999999999979,ai learning course,B,Phrase match,1.0,27.486078793726325,1.65823606371589,27.469496433089166
0.00999999999999979,ai certification cost,USA,Phrase match,1.0,10.111650563573638,3.8283920814172347,10.073366642759467
0.00999999999999979,ai learning course,C,Exact match,1.0,27.486078793726325,3.348213918241072,27.452596654543914
0.00999999999999979,artificial intelligence master online,USA,Phrase match,1.0,19.60565779945927,2.434687481294077,19.581310924646328
0.00999999999999979,ai innovation course,USA,Exact match,1.0,20.573469916678892,1.6556965825038787,20.556912950853853
0.00999999999999979,ai innovation course,A,Exact match,1.0,20.573469916678892,1.6556965825038787,20.556912950853853
0.00999999999999979,ai innovation course,B,Exact match,1.0,20.573469916678892,1.6556965825038787,20.556912950853853
0.00999999999999979,best ai learning course,C,Phrase match,1.0,5.432413850607181,3.8592800364513096,5.393821050242669
0.00999999999999979,designing and building ai products and services,A,Exact match,1.0,22.794173072822847,2.563578365545254,22.768537289167394
0.00999999999999979,best ai learning course,C,Exact match,1.0,5.432413850607181,3.3283308734185084,5.399130541872997
0.00999999999999979,artificial intelligence certification,C,Phrase match,1.0,1.984322432214872,2.7653879412941933,1.9566685528019307
0.00999999999999979,ai for product managers,USA,Exact match,1.0,58.48000857247656,1.9022056280139168,58.46098651619642
0.00999999999999979,artificial intelligence certification,C,Exact match,1.0,1.984322432214872,2.2344387782612216,1.9619780444322603
0.00999999999999979,online AI and ML courses,USA,Phrase match,1.0,11.342331239535318,1.7795391602087989,11.32453584793323
0.00999999999999979,best ai learning course,A,Exact match,1.0,5.432413850607181,1.107403855860582,5.421339812048575
0.00999999999999979,upskill in ai,USA,Exact match,1.0,50.978037623244965,3.8467146485069748,50.9395704767599
0.00999999999999979,best ai learning course,USA,Phrase match,1.0,5.432413850607181,1.638353018893099,5.41603032041825
0.00999999999999979,mba in ai,USA,Exact match,1.0,12.862434941261276,1.8965281851511122,12.843469659409765
0.00999999999999979,executive education ai,C,Exact match,1.0,34.71919032268659,1.1247469608077836,34.707942853078514
0.00999999999999979,introduction to generative ai,A,Exact match,1.0,6.494916981594959,4.360889178152547,6.451308089813434
0.00999999999999979,artificial intelligence training,USA,Phrase match,1.0,31.57900442171699,2.874772395316768,31.550256697763825
0.00999999999999979,generative AI for business,USA,Exact match,1.0,84.31771727015092,1.5299074932678423,84.30241819521824
0.00999999999999979,AI for product managers course,A,Phrase match,1.0,18.87774906948191,2.780240109674253,18.84994666838517
0.00999999999999979,best generative ai courses,C,Exact match,1.0,1.1552351205188436,2.568305761237127,1.1295520629064728
0.00999999999999979,best ai certification,B,Exact match,1.0,18.107351739634584,1.0884310040588616,18.096467429593996
0.00999999999999979,mitx,USA,Broad match,1.0,57.75766361444288,4.463562739225267,57.71302798705063
0.00999999999999979,MIT generative AI certificate,USA,Broad match,1.0,12.350676910725396,1.5483329059904918,12.335193581665491
