bid,keyword,region,match,active,predicted_conv_value,predicted_clicks,predicted_profit
15.90,ai short course,B,Exact match,1,161.5261204,1,145.63
14.49,generative ai certificate course,B,Exact match,1,153.9919621,1,139.51
13.75,course in generative ai,A,Exact match,1,143.623616,1,129.87
12.26,ai short course,B,Phrase match,1,127.2816602,1,115.02
11.63,ai related certifications,A,Exact match,1,118.6639973,1,107.04
11.59,graduate certificate artificial intelligence,A,Phrase match,1,143.6527091,1,132.06
11.05,courses in generative ai,B,Exact match,1,111.3765168,1,100.33
10.79,certification in machine learning and ai,USA,Exact match,1,113.1822705,1,102.39
10.56,AI for engineers,B,Exact match,1,114.4913508,1,103.93
10.27,generative ai for business with msft azure openai program,USA,Exact match,1,129.6559252,1,119.39
9.83,course generator ai,A,Exact match,1,122.6890043,1,112.86
9.77,ai related certifications,B,Exact match,1,102.1802382,1,92.41
9.64,course on machine learning and artificial intelligence,USA,Exact match,1,106.8767747,1,97.24
9.62,ai for executives,USA,Exact match,1,96.96050215,1,87.34
9.56,course on machine learning and artificial intelligence,B,Exact match,1,107.4129872,1,97.85
9.47,ai related certifications,USA,Exact match,1,108.8069234,1,99.33
9.16,generative ai course online,B,Exact match,1,106.2537519,1,97.09
7.69,generative ai crash course,A,Exact match,1,95.6282912,1,87.94
5.15,ai executive education,A,Exact match,1,76.24300124,1,71.10
5.12,mit ai courses,USA,Exact match,1,72.04860557,1,66.93
5.02,generative ai crash course,B,Exact match,1,69.56674759,1,64.55
4.95,generative ai course mit,B,Exact match,1,49.2953187,1,44.35
4.95,generative ai course mit,USA,Exact match,1,49.29481229,1,44.35
4.94,online artificial intelligence degree,A,Exact match,1,74.52306539,1,69.58
4.84,upskill in ai,A,Exact match,1,62.30197112,1,57.47
4.81,executive education ai,A,Exact match,1,92.38382999,1,87.57
4.78,top artificial intelligence certification,B,Exact match,1,65.47079307,1,60.69
4.68,artificial intelligence certification,USA,Exact match,1,65.37720348,1,60.69
4.43,bootcamp ai,A,Exact match,1,44.38279931,1,39.96
4.33,ai for executives course,B,Phrase match,1,57.60176326,1,53.27
4.23,course generator ai,B,Phrase match,1,66.84872084,1,62.62
4.03,course on generative ai,B,Phrase match,1,71.62524891,1,67.60
3.97,best place to study artificial intelligence,A,Phrase match,1,44.84251177,1,40.88
3.77,generative ai crash course,USA,Exact match,1,66.47621466,1,62.71
3.71,best course for artificial intelligence,USA,Exact match,1,39.21443129,1,35.51
3.70,generative ai course online,USA,Phrase match,1,54.28901723,1,50.59
3.64,generative ai training course,USA,Exact match,1,67.42583271,1,63.78
3.51,ai certification classes,USA,Phrase match,1,43.5274037,1,40.02
3.48,mit ai course,USA,Phrase match,1,54.26962446,1,50.79
3.48,mit ai course,B,Phrase match,1,54.26962446,1,50.79
3.32,machine learning engineer training,B,Phrase match,1,43.32689681,1,40.01
3.24,what to study to become artificial intelligence engineer,USA,Phrase match,1,41.42738865,1,38.18
3.24,ai executive education,USA,Exact match,1,60.49551727,1,57.25
3.10,executive education ai,USA,Exact match,1,62.20153761,1,59.11
3.03,artificial intelligence certification mit,A,Exact match,1,66.32657758,1,63.29
3.02,ai related certifications,USA,Phrase match,1,86.20233587,1,83.19
2.97,online artificial intelligence degree,USA,Exact match,1,54.94597051,1,51.97
2.97,executive education ai,B,Exact match,1,71.82492949,1,68.85
2.93,best course on generative ai,USA,Phrase match,1,60.1728868,1,57.25
2.86,ai certification mit,A,Phrase match,1,28.5496281,1,25.69
2.86,machine learning engineer training,USA,Phrase match,1,30.62445422,1,27.77
2.81,generative ai stanford course,USA,Phrase match,1,50.56838172,1,47.76
2.77,upskill in ai,USA,Exact match,1,42.20460798,1,39.44
2.76,best course for artificial intelligence,A,Exact match,1,77.43477112,1,74.67
2.69,stanford online artificial intelligence course,B,Exact match,1,36.85905206,1,34.17
2.69,ai executive education,B,Exact match,1,73.5013993,1,70.81
2.68,generative ai courses online,A,Phrase match,1,50.72070058,1,48.04
2.64,artificial intelligence master online,B,Exact match,1,30.75926827,1,28.12
2.63,bootcamp ai,B,Exact match,1,62.32982983,1,59.70
2.55,mba in ai,A,Exact match,1,69.39221611,1,66.84
2.42,ai graphic design course,A,Exact match,1,62.14944682,1,59.73
2.36,ai for business leaders,A,Exact match,1,31.4480576,1,29.09
2.26,bootcamp ai,USA,Exact match,1,30.71140517,1,28.45
2.26,artificial intelligence online program,USA,Exact match,1,62.7524956,1,60.49
2.17,best place to study artificial intelligence,B,Phrase match,1,26.68855644,1,24.52
2.15,stanford generative ai course,USA,Phrase match,1,28.84974103,1,26.70
2.11,prompt engineering course,A,Phrase match,1,22.53386239,1,20.42
2.10,ai courses for executives,USA,Exact match,1,54.11840068,1,52.01
2.05,diploma in artificial intelligence,A,Exact match,1,40.46766146,1,38.42
2.03,executive education ai,A,Phrase match,1,21.50097257,1,19.47
2.02,ai courses for executives,B,Exact match,1,50.55956123,1,48.54
2.02,artificial intelligence master's degree online,B,Exact match,1,21.56772444,1,19.55
1.98,artificial intelligence master's degree online,USA,Exact match,1,21.92040055,1,19.94
1.67,ai prompt engineering course,B,Exact match,1,42.9978303,1,41.33
1.47,mba in ai,B,Exact match,1,47.51896773,1,46.05
1.45,ai courses near me,B,Exact match,1,16.5724179,1,15.13
1.30,artificial intelligence certification mit,B,Exact match,1,49.00935428,1,47.71
1.30,artificial intelligence certification mit,USA,Exact match,1,49.00935428,1,47.71
